accuracy,precision,recall,f1,auc
0.9626339169061928,0.9646017699115044,0.9650762420068864,0.9648389476272436,0.97506685337905
0.9628952181865691,0.9658400394153391,0.9642564354812264,0.9650475877912701,0.9731885794461982
0.962808117759777,0.9706272817789579,0.9590096737170027,0.9647835051546392,0.9769680368067845
0.9624597160526086,0.969049983449189,0.9599934415477948,0.9645004530104604,0.9721716354984816
0.9620242139186482,0.9662440309566935,0.9621249385145105,0.9641800854419981,0.9704300873808349
0.9631565194669454,0.9663161353927046,0.9642564354812264,0.9652851867049651,0.9740447304231816
0.9626339169061928,0.9681307793923382,0.9613051319888506,0.9647058823529412,0.9693511019619363
0.9625468164794008,0.9681255161023947,0.9611411706837186,0.9646207010037847,0.9759774601035108
0.9628952181865691,0.9644670050761421,0.9657320872274143,0.9650991315746354,0.9721551997637885
0.9626339169061928,0.9661295626438672,0.9634366289555665,0.9647812166488794,0.9693440189066699
0.9625468164794008,0.9665843621399177,0.9627807837350385,0.9646788237226877,0.9762397464016404
0.962808117759777,0.9700033145508784,0.9596655189375307,0.9648067254594906,0.9748628156902501
0.9632436198937375,0.9672427983539095,0.9634366289555665,0.9653359618859866,0.9759291582363077
0.9623726156258166,0.9701343952215032,0.9586817511067388,0.9643740722414647,0.9747518021272806
0.962808117759777,0.9696919509771448,0.9599934415477948,0.964818324132817,0.9734294794871368
0.9623726156258166,0.9678058444774641,0.9611411706837186,0.9644619940769991,0.9779939373921283
0.9626339169061928,0.9717138103161398,0.9575340219708149,0.9645718060946403,0.9717768122887993
0.9624597160526086,0.9679656538969617,0.9611411706837186,0.9645413410119292,0.9785585254425477
0.9630694190401533,0.970798075327692,0.9593375963272668,0.9650338116444005,0.9731311229204683
0.962721017332985,0.9709350606211593,0.9585177898016068,0.9646864686468647,0.9729019518097557
0.9625468164794008,0.9703003152480505,0.9588457124118708,0.9645390070921985,0.9709939290447855
0.9628952181865691,0.9687654933068914,0.9611411706837186,0.9649382716049383,0.9836572132707637
0.9626339169061928,0.9717138103161398,0.9575340219708149,0.9645718060946403,0.9710259018039338
0.9626339169061928,0.9714000665114733,0.9578619445810789,0.9645835053248576,0.9715300782475016
0.9628952181865691,0.9695414666445953,0.9603213641580587,0.9649093904448105,0.9693709345166819
0.961850013065064,0.9650073928043371,0.9631087063453025,0.9640571147218119,0.9732277114224974
0.961850013065064,0.964397046759639,0.9637645515658305,0.964080695423979,0.9748150774209927
0.9626339169061928,0.9693708609271523,0.9599934415477948,0.9646593623856989,0.9721412012094021
0.9631565194669454,0.9700231864855913,0.9603213641580587,0.9651478948669359,0.9711496953311363
0.9628952181865691,0.967375185368265,0.9626168224299065,0.9649901380670611,0.9768969168389601
