seed,accuracy_mean,precision_mean,recall_mean,f1_mean,fpr_mean,auc_mean
0,0.9314844198023267,0.9343855868314158,0.9355976405872021,0.9349789504723747,0.07309125591160945,0.9808640324849998
1,0.9321663282965973,0.9328318548426511,0.9388544604378029,0.9358046608754946,0.07527522761530983,0.981438743978735
2,0.9321880112015763,0.93278067468357,0.938938089831398,0.9358316839343745,0.07532167443370277,0.9813057510215097
3,0.9330898110568496,0.9322850095962973,0.9414022355819961,0.9367842555925664,0.07615845098997337,0.9813132899017318
4,0.9333097991733403,0.933416710014199,0.9405254611825319,0.9369318111903369,0.0747181032086291,0.9812742280088982
5,0.9319021277596237,0.9324042591064557,0.938813770682796,0.9355663441503582,0.07578691960901793,0.9810860855658928
6,0.9316599729607111,0.9302315677627131,0.9408178239614345,0.9354835568700908,0.0785281236348693,0.9810640582246017
7,0.9325181215773352,0.9308519733774785,0.9418625722273672,0.9363035122978666,0.07787739334929906,0.9814308217391353
8,0.9327599377320379,0.9319884153412549,0.9410261387637501,0.9364604164151634,0.07643702398486076,0.981245799617335
9,0.9333096733912054,0.9323591963547846,0.9416945460380248,0.9369904758225577,0.07601876520528975,0.9813325209821298
10,0.9313743459208033,0.9337060228350411,0.9362237360973765,0.9349412777135914,0.07402032177803256,0.9808789194243515
11,0.9338597089923875,0.934804548565598,0.9400244522231118,0.9373895289031784,0.07299853493957595,0.9818989017019193
12,0.9333095959868146,0.9351686883327902,0.9384791833445828,0.9368002268129265,0.07244102203720235,0.9812484809507549
13,0.9327379306961723,0.9324938853452981,0.9404410643867844,0.9364043363252715,0.07583254626983701,0.9811025973283979
14,0.9327159478491789,0.9332564562147461,0.9395234083817755,0.936343668603155,0.07485705516811503,0.9813638322395292
15,0.9325400270199378,0.9327182607131608,0.9397740000662758,0.9362015013291959,0.07550735379180429,0.9811622427786129
16,0.9312642043104378,0.9321623500793474,0.9377686561567453,0.9349359791828087,0.07597205938976823,0.9806287707512821
17,0.9324521053075128,0.9346932997023192,0.9372682750718132,0.9359514576574307,0.07290525280709723,0.9812923250120763
18,0.9319244395752783,0.9323377613839556,0.9389393106984582,0.9355936264144624,0.07587938158392284,0.9807289788517661
19,0.9320560802551945,0.9331939236004961,0.9382278068169729,0.935661183775116,0.07481104001160307,0.9811667278264904
20,0.9322539162025869,0.9320803499116519,0.9398990342941558,0.9359528673855099,0.07625145254222948,0.9813014727959235
21,0.9320780534266391,0.9312193343521438,0.9406087766388831,0.9358484249921497,0.07741314099631015,0.9813266759037054
22,0.9318362566230342,0.9330039318801975,0.9379772848963048,0.9354581622633702,0.0749964172063879,0.98099714644991
23,0.9306919826757364,0.9282731363104653,0.9412760502508881,0.9346728724620578,0.08108401521521799,0.9805363672721
24,0.930384522759842,0.9304959194220868,0.9379359323848941,0.9341729555521241,0.07801625897640882,0.9808887236334403
25,0.9316601809850115,0.9318841566738563,0.9388959873587938,0.9353514805168309,0.07639051241718567,0.9812591675511115
26,0.9314622386065816,0.9291447099655651,0.9417357939036876,0.9353568200338017,0.07996877357953025,0.9811105261756395
27,0.9321879628238321,0.9302154863721028,0.941944108706003,0.9360118047498384,0.07866696767888501,0.9811636592218627
28,0.9333096250134609,0.9328022730229236,0.9412355349054613,0.9369655826666644,0.07550774228749717,0.9814376593149838
29,0.9306703336351783,0.9313208500430668,0.9376023217403286,0.9344065219949027,0.07704148011679043,0.9810106233928451
