seed,accuracy_mean,precision_mean,recall_mean,f1_mean,fpr_mean,auc_mean
0,0.9539197825401045,0.9547947984877199,0.9578585119723456,0.9563194934135373,0.050462180375960244,0.990101919496059
1,0.9532376950481798,0.9540643862023238,0.957314999398287,0.9556799675497871,0.05129882743366652,0.9901316040978486
2,0.9540955388850151,0.954710327232668,0.9583179591288589,0.9564955357511506,0.05060173666207953,0.9900726775819273
3,0.9532815397978063,0.9538428349907372,0.9576493425630883,0.9557334132409361,0.051577961588999174,0.9901861865536935
4,0.953523742974463,0.953942934755041,0.9580254568222923,0.9559718737701404,0.05148452837486208,0.989893283779032
5,0.9535895367066619,0.9557223913130327,0.9561872670542048,0.9559457122201461,0.049300923583760536,0.9899296381826763
6,0.9547112279229374,0.9551629417844932,0.9590278410012505,0.9570843343046029,0.05009090799213339,0.9900416948487611
7,0.9534577992712571,0.9544215833778125,0.9573572762804714,0.9558798967261627,0.05088056865409553,0.9901183818246027
8,0.9535457258214566,0.9544531836226318,0.9574823628312256,0.95596133379574,0.050833819672385906,0.9899274204317292
9,0.9540295322907415,0.9545825174012366,0.9583177149554469,0.956434712570512,0.05074099078488216,0.9900259469744187
10,0.9541836541084171,0.9548220914857168,0.9583596255775138,0.9565813452184685,0.050462050877395935,0.9900956672787837
11,0.9531936519498021,0.953608250315342,0.9577330242795578,0.9556604224198649,0.051856577750074684,0.9899291972869056
12,0.9536554223565747,0.9545681840840038,0.9576079202878456,0.9560670961333375,0.05074124978201076,0.989972654884222
13,0.9543373260130711,0.9550210564552526,0.9584423654822514,0.9567205846232756,0.0502296225375848,0.989865629695729
14,0.9532818058753996,0.954443919907742,0.9569814236356373,0.955700290629147,0.05083407866951448,0.9897558242110973
15,0.9533476818497638,0.9544068383797842,0.9571484033675002,0.9557728640501564,0.05088065498647172,0.9899372895409166
16,0.9537655059136471,0.9550891565428901,0.9572318757924734,0.9561535993625645,0.05009084324285125,0.9901079856880013
17,0.9535897060287667,0.9547684833006,0.9572319629972637,0.9559893990660161,0.05046198612811379,0.9900647979772529
18,0.9539855665967545,0.9546874198471607,0.9581086153100218,0.9563863119887355,0.05060184457754978,0.9899832026227982
19,0.9535896141110525,0.9540198666871336,0.958066809333703,0.9560279764750534,0.05139189373520479,0.9899307992311652
20,0.9537656558846542,0.9543038980869673,0.9581091734206776,0.9561929288417792,0.05106687392192445,0.9900800831679775
21,0.9526658797865304,0.9534070586912371,0.9568978814468322,0.9551445033551438,0.05204223552508215,0.9899094827031446
22,0.9540735173358261,0.9545571280103294,0.9584425050099152,0.956485920775903,0.050787459186369156,0.9900508682646194
23,0.9532595811396847,0.9539217708469778,0.9575238025474263,0.9557053746606254,0.051484852121272816,0.9899875831864386
24,0.9538757055773057,0.954161055349562,0.9584850609474278,0.9563070754362183,0.05125192737029856,0.9898973080879865
25,0.9533698001544412,0.9542576234636849,0.9573572588395134,0.9557980446627701,0.051066442260043476,0.9898727082083685
26,0.9534796998760854,0.9541857249937689,0.9576493774450043,0.955912244282902,0.05115942222920555,0.9899245481025082
27,0.9540514764355393,0.9545446203963655,0.9584007164745545,0.9564584773912778,0.050787567101839404,0.9900046482025593
28,0.9537655301025193,0.9550217210026389,0.9573155749499008,0.9561592904296676,0.05018378004582523,0.9898696767092032
29,0.9531717029672295,0.9534216314053916,0.9578996377513025,0.9556412393506335,0.052088768675851285,0.9899456185708067
