seed,accuracy_mean,precision_mean,recall_mean,f1_mean,fpr_mean,auc_mean
0,0.9262720323132371,0.927476015708591,0.9333017651993588,0.9301964839228475,0.08154764165847948,0.9784917517615529
1,0.9278112283002837,0.9261325756738668,0.9379777558021706,0.9319164233719104,0.08349983251519018,0.9790065817948601
2,0.9266889081733328,0.9297334855220564,0.9313364134065155,0.9304272573839404,0.07848146098553588,0.9780728380337754
3,0.9277669287998613,0.928508148115833,0.9349702195642202,0.9316575325299213,0.08024756240535812,0.9789074950260787
4,0.9287791024786726,0.9290945392018297,0.9363082026569558,0.9326500192675855,0.0795967889535998,0.9789082649190876
5,0.927436944206238,0.9326784743447243,0.9293323252459611,0.9309795948667297,0.07467135422691946,0.9789281126270668
6,0.9288225069908259,0.9293154230784323,0.9362232651915106,0.9326945778951524,0.07941061318433516,0.9792087145901217
7,0.9240939888620886,0.9259013687576525,0.9305865917403112,0.9281189647964073,0.08312825796804665,0.9776393803088389
8,0.927789163211125,0.9310301847039628,0.9322153156028555,0.9314745893927527,0.07713363992837867,0.9794053382417853
9,0.9243135560922046,0.9257979943635724,0.931545443288109,0.9284368951767521,0.0837310953679227,0.9778003258986601
10,0.9273273589399315,0.9286708293659285,0.9338013614411812,0.9311585282437178,0.07987531878229912,0.978625817585051
11,0.9261831962614453,0.9288528074170094,0.9314212287852547,0.9300258113528477,0.07964248036370104,0.9786215639650191
12,0.9288006305748698,0.9337704493025154,0.9309198361247587,0.9322885519963006,0.07355637158836031,0.9796713301474481
13,0.9275027669650833,0.9336164298098678,0.9285382035464445,0.9309580789432775,0.07364894147873546,0.9790555330703574
14,0.9269092349340335,0.9266846441527063,0.935763207601467,0.9310113234443532,0.08294275127469754,0.9788265615654558
15,0.92710750144335,0.928564964403285,0.9335092777176065,0.9309844524699973,0.08001468082057198,0.9793008167356309
16,0.9287127765912866,0.9318028681293546,0.9330079199390264,0.932368359624884,0.0760659242657863,0.9789909434572431
17,0.9275689186925895,0.9338796871554876,0.9282874723342804,0.9309872276920738,0.0732303373696597,0.9783407134860859
18,0.9278110589781787,0.9323150406212684,0.9310428472015111,0.93142962360004,0.07578717860614652,0.978977118991834
19,0.9223776093866757,0.9235284947922258,0.9307524552508621,0.9267596514368514,0.08693873163926188,0.9766365330809694
20,0.9274589318910058,0.9268187309555277,0.9368090023248797,0.9315635985145831,0.08294342035061306,0.9787299571631308
21,0.9272391711499128,0.9295255357677921,0.9326732453960233,0.931044042992168,0.07880723620710792,0.9785342062865918
22,0.9263376422100075,0.9315760491663401,0.9283726714140954,0.9299049093563012,0.07592526724187051,0.978391321205782
23,0.9305600952693242,0.9370005831745758,0.9307516529667941,0.9338410191021579,0.0696530474465473,0.9796678513634308
24,0.9267991465391867,0.930805186913213,0.9302088031491392,0.9304849889790148,0.07699464480270461,0.9781977461650344
25,0.9279431834355378,0.93824256954935,0.9241536862336774,0.9310123019770284,0.06784071503927261,0.9791497834143567
26,0.9263810854243566,0.9316304659616416,0.928746553230676,0.9300192376193491,0.07625197053648665,0.9784443297603941
27,0.9297464832040697,0.9312771590484159,0.9358050833416177,0.9334382852270915,0.07699442897176415,0.9795539074767488
28,0.9278546424879861,0.9300486043145207,0.9334252297410192,0.9316460685156829,0.07834207736416895,0.9790432747716509
29,0.9278770317080314,0.9293317044031362,0.9343031901256271,0.9316847696967858,0.07927077631799322,0.9784508440690551
