seed,accuracy_mean,precision_mean,recall_mean,f1_mean,fpr_mean,auc_mean
0,0.8799711252595588,0.868309416046988,0.9101203774920947,0.8887171931949014,0.15357126823987277,0.949561233600954
1,0.8801030997459105,0.868324367090208,0.9104536218765423,0.8888622371839243,0.15366392446262414,0.949626889101366
2,0.8800147474715614,0.868430642174926,0.9100780831689523,0.8887584293964628,0.1534316256213773,0.9495514250308501
3,0.8803889106212466,0.8688650565012036,0.9103291283183603,0.8890961040176066,0.15292114228093592,0.9495702861579263
4,0.8799927017335003,0.8681918834295417,0.9104122868060898,0.8887820861627025,0.15385007864879469,0.9495399134718792
5,0.880256868406053,0.8685949407709055,0.9103708645308469,0.8889840094586703,0.15324598942946382,0.9495578915103569
6,0.8803229524047174,0.8686980841548241,0.9103711435861749,0.8890357962838168,0.15310654105881477,0.9495690356657291
7,0.8801248842441524,0.8684902104930524,0.9103290934364443,0.8888748863200302,0.1534776191947952,0.9495607984158102
8,0.8801471718709347,0.8683846374933404,0.9104122868060897,0.8888961447025672,0.15352426026103455,0.9495346273323862
9,0.8800369673695018,0.8684352917778181,0.910119836822397,0.8887792785149882,0.15343164720447133,0.9495313288509918
10,0.8805648556393597,0.8691238610555894,0.9102868514361757,0.8892252323855612,0.1525019122621327,0.9495882598803573
11,0.8799489779282347,0.8681572873822905,0.9103287794992004,0.8887276825096446,0.15385003548260662,0.9495853544996669
12,0.8800587954077136,0.86833083075147,0.9102870956095878,0.8888083010144106,0.1535711387413085,0.9495023566199811
13,0.8803227395426425,0.8685715936990345,0.9105371291834319,0.8890551999152085,0.15329200458597583,0.9495195727459921
14,0.8803008292622655,0.8687907686541694,0.9102034662159925,0.889006294407505,0.15296672577556691,0.9495668185419988
15,0.8801689079914325,0.8686543707135617,0.9101615381529676,0.8888997782808333,0.15319949944488281,0.949568095655199
16,0.8799929774866427,0.86818197426824,0.9104122344832157,0.8887827906033692,0.15384999231641855,0.9494954808519529
17,0.8804111595458336,0.8687855089619457,0.9104959161996851,0.889130292473963,0.15305901508571942,0.9495378470496636
18,0.8800592114563143,0.868600532515798,0.9099953432642147,0.8887904422760375,0.15324607576184004,0.949622301358669
19,0.8801466300401989,0.8687182227016402,0.909994122397155,0.8888567137993013,0.15306011582351592,0.9495106485326353
20,0.8803888670812767,0.8687543219302925,0.9104540753414504,0.8891028078779557,0.1530604611530207,0.9495557734780787
21,0.8799710091529725,0.8681799178212307,0.9103706029164771,0.8887593457080735,0.15384940957287918,0.9495596536268616
22,0.8800150183869293,0.8683287782630057,0.9102868339952176,0.8887784229918896,0.15366314747123838,0.9495794506551565
23,0.8800586889766763,0.8683713554684231,0.9102867293494699,0.8888157665325129,0.15357124665677874,0.9494640886109215
24,0.8802349339368037,0.8688087244237632,0.9100368353032895,0.88893153973081,0.15291989046148108,0.9495164113891825
25,0.8803228266225822,0.8685865028921513,0.9105370245376838,0.8890360099991662,0.1532920261690699,0.9495469707140929
26,0.8801686661027113,0.8687087668460096,0.910119488003237,0.888892748890596,0.1531535058714649,0.9496079367694549
27,0.8801029207482566,0.8686240350788971,0.909994663066853,0.8888120381407102,0.1531530094603018,0.9495778809934763
28,0.8803667003988551,0.8685847551991509,0.9106630180182538,0.8891045455199134,0.15333883990006164,0.9494786492658107
29,0.8803448336584478,0.8684779686892883,0.9107458974506553,0.889094602051817,0.15347807243977024,0.9495706559206486
