seed,accuracy_mean,precision_mean,recall_mean,f1_mean,fpr_mean,auc_mean
0,0.9356636570226924,0.9378311481063747,0.9401502189712276,0.9389794074303189,0.06932753122210385,0.9826697392281073
1,0.9365872945917262,0.9393564397441102,0.9403579931038453,0.9398260013685225,0.06760781187139239,0.983072106444061
2,0.9362131846575596,0.9372935684161519,0.9419453818959369,0.9395915605875205,0.07016387611649344,0.9831585610184813
3,0.9359933610253993,0.9389501881096786,0.9396904927593862,0.9392660935617148,0.06811961178057072,0.9829338447464192
4,0.9362791719007355,0.9364107724805903,0.9431149899801696,0.9397250354736609,0.07132653580980632,0.9831118782938153
5,0.9362792251162542,0.9387064574278394,0.9404838644977092,0.9395635211744743,0.06839850852186886,0.9831027137855199
6,0.935355311794078,0.935335331553216,0.9424463036505667,0.9388618669186556,0.07253421783730492,0.9826461329053618
7,0.9370271789069937,0.936173376920918,0.944869428267956,0.9404875224293473,0.07169731178247003,0.9829389018954945
8,0.9367851740790887,0.9361695687258257,0.9443673902920139,0.9402356224174813,0.07165049805147827,0.9831937595391007
9,0.9354213232261259,0.9349892582332238,0.9429890837043896,0.9389489519175032,0.07299827594244739,0.9830421141929531
10,0.9368072585193449,0.9374754873606452,0.942947923043517,0.940187982953794,0.07002427666418604,0.9830797523735564
11,0.9364773368167889,0.9367608460071599,0.9431152690354976,0.9399075744051014,0.07090797486691865,0.982975665215089
12,0.9354430786977213,0.9365281862402872,0.9412355697873773,0.938854559750582,0.07100039367563546,0.9831327174614655
13,0.9357732568023222,0.9364263425146755,0.9420286101474982,0.9391959124595951,0.0711861809492072,0.9830004194339722
14,0.9364111415493127,0.9368086465738988,0.9429063961225262,0.9398258959424034,0.07081471431753393,0.9831011347097114
15,0.9360813746555385,0.9359218050558052,0.9432409485788235,0.9395462208656322,0.07188279689272511,0.9831809988321598
16,0.935663415133971,0.9352699788180063,0.9431571098937322,0.9391839409526513,0.07267321296297895,0.9831398820550936
17,0.936719225538108,0.9381481353738899,0.9419873273999194,0.9400420429240501,0.06914154970068564,0.9832129051053945
18,0.9361915211036782,0.9361336377156493,0.943199072838673,0.9396433775361803,0.07160450447806035,0.9829532083506537
19,0.9355751451017872,0.9370565609004112,0.9409426140159027,0.938956638338106,0.07039675770127961,0.982775309787933
20,0.936433143747404,0.93677546479436,0.9429894325235496,0.9398506283825425,0.07086122588520902,0.9832715539771233
21,0.9365651375848534,0.9380828726313772,0.9417784021640742,0.93990008377158,0.0692350476641049,0.9830857664665477
22,0.9357954186469695,0.9386263793866474,0.9395645690426484,0.9390770734779691,0.06839799052761168,0.9829067937992658
23,0.9375988103332151,0.9381720950178991,0.9437823856788807,0.9409319245065781,0.06928147289940378,0.9829205535576373
24,0.934607604729834,0.9367697561184871,0.9392729213430234,0.9379947604828847,0.07058178956655967,0.9826116401565891
25,0.9367633025009068,0.9383549734221621,0.9418201906994348,0.9400743298211094,0.06886276087485776,0.983046771355764
26,0.9359053957730044,0.9362514663474174,0.942529845839372,0.9393482995769483,0.07146544460310415,0.9828761639128556
27,0.9368071037105634,0.9376433803354228,0.9427381780826458,0.9401585827058128,0.06979191307365705,0.9830629315247045
28,0.937092909748125,0.9376555391416073,0.9433236361606869,0.9404619943377878,0.06983874838774286,0.9833559663387957
29,0.9361251516763227,0.9356979492154677,0.9435743150499771,0.9396089852434073,0.07216253537469115,0.9829903185242788
