seed,accuracy_mean,precision_mean,recall_mean,f1_mean,fpr_mean,auc_mean
0,0.9482449086536271,0.948048588678485,0.9540161293979554,0.9510111349794498,0.0581755896932956,0.9883550351954187
1,0.9479368536914784,0.9477986352378641,0.9536815769416582,0.950725054822068,0.05845459435006397,0.9884177852061035
2,0.9486407305194191,0.9489109268534168,0.9538489578155549,0.9513612677946466,0.0571533064436759,0.9885026891998082
3,0.9479366456671781,0.9480482359325973,0.9534313863991922,0.9507175234074452,0.058176172436834914,0.9883813738963392
4,0.9490585739344002,0.9490322561535688,0.9545589617746524,0.9517781451983829,0.05706077971948884,0.9885288090642389
5,0.9481346412611265,0.9479269698700131,0.9539319767756202,0.9509116166603093,0.05831542655963754,0.988396852806984
6,0.948244749007071,0.9477074648423012,0.9543918948379997,0.9510296360580315,0.05859412905308923,0.9884491675804175
7,0.9480247995927755,0.9479902086117559,0.9536401197844995,0.9507983964627954,0.05822231709191117,0.9885318163018046
8,0.9481347767188104,0.9482528253614863,0.9535561764536601,0.9508912637809204,0.05789667136890342,0.9884566771506945
9,0.9478926606220932,0.9478652945002313,0.9535144053592577,0.9506712126873544,0.05836154963161975,0.9884187118575996
10,0.9484648967701179,0.948605044751883,0.9538489054926809,0.9512084945230337,0.057524729909161076,0.9884337861203936
11,0.9483547067820084,0.948655416995561,0.95355661247761,0.9510959970995841,0.0574325485144788,0.9884152113506748
12,0.9482004591821974,0.9479513196061017,0.9540575691141561,0.950978196234528,0.05831516756250895,0.9884041003279096
13,0.9482225920001982,0.9487188361722853,0.9532215542335309,0.9509532726016741,0.057339028967965514,0.9884811382416876
14,0.9483327626372102,0.9482848640954391,0.9539322907128641,0.9510915429344372,0.05789703828150226,0.988295787464365
15,0.9490366346273766,0.9495110179107792,0.9539742536578049,0.9517313814183881,0.056456604167781796,0.9882913139359515
16,0.9478267991610524,0.9475260503595061,0.9537655551544134,0.9506295489387764,0.058780132157601486,0.9883998418043862
17,0.9483108136546378,0.948399074992276,0.9537653807448334,0.9510622678703206,0.057757050333501966,0.9884085342355317
18,0.9479809258165026,0.9479552929785653,0.9535981219576429,0.9507587999087279,0.05826874232721006,0.9884066855214199
19,0.9483765590090923,0.947928296471716,0.9544330729398304,0.9511569933823791,0.05836198129350073,0.9884760956086464
20,0.9489705844931334,0.9487036994946706,0.9547677474828337,0.9517115440602547,0.05747914641453008,0.9885320858345533
21,0.9486408756526519,0.9485368030962672,0.9542669478149095,0.9513852736202411,0.057618012041639834,0.9884931439250974
22,0.9483326949083682,0.94831767689828,0.9538901707993016,0.951087990219229,0.05785018138432239,0.9884964447302815
23,0.9483985370183113,0.948048686349743,0.9543494261052772,0.9511680170664816,0.05822257608903977,0.9884394950532197
24,0.9482888356454187,0.9485324578470372,0.9535567520052741,0.9510289648972062,0.0575714788908707,0.9883963638693289
25,0.9489927269866831,0.9490647561315427,0.9543915983417136,0.9517060059902578,0.05701411707015541,0.9884714804513679
26,0.9483329029326685,0.9485378113204096,0.9536398756110875,0.9510736282185459,0.05757167313871714,0.9885456236104828
27,0.9491905193941056,0.9494181639677539,0.9543913018454278,0.9518829707915879,0.056596138870807056,0.9883546008714372
28,0.9485746513585293,0.9491411062101889,0.9534732446983847,0.9512894770957379,0.056874841364258744,0.988493887181289
29,0.9482447151426501,0.9481630851556251,0.9538901707993016,0.9510090242536033,0.05803650823524538,0.9883763747758014
