seed,accuracy_mean,precision_mean,recall_mean,f1_mean,fpr_mean,auc_mean
0,0.9240059897452728,0.9260797908588969,0.9299592230402031,0.928001066696288,0.082616760222185,0.9693514782132265
1,0.9248858454557478,0.9272098667329736,0.9304181120860605,0.9288073563942614,0.08126932766072066,0.9689859415636954
2,0.9241158169003005,0.9263647459824472,0.929833665583583,0.9280846638126585,0.08224529359051172,0.9691799522927
3,0.9237636704620297,0.9257282708727124,0.9299167019846066,0.9277920118420966,0.08308198381440612,0.969168085730367
4,0.9228620496044103,0.925030846738248,0.928831211640793,0.9269099516797696,0.08377862134101807,0.9687482519876907
5,0.9248854922982147,0.926854891197426,0.9308359451167935,0.928836846324525,0.08173427067271913,0.9692251539136827
6,0.9245115855505741,0.9259997388941773,0.9310863623917134,0.9285235844108215,0.08280302232382585,0.9694715636980424
7,0.9242039611503492,0.9263348895689776,0.9300844840005371,0.9281821598022824,0.0823381440611095,0.9691686482600683
8,0.9249956677730014,0.9270580207730992,0.9308355090928433,0.928935752626686,0.08150123800627464,0.9690035616484257
9,0.9233016968687311,0.9258568725468237,0.9287473903966598,0.9272926344947392,0.08275655392233885,0.9693389447793004
10,0.9245557931332824,0.92738959517258,0.9295406923711506,0.9284494958994335,0.08099027983776419,0.9691834987030565
11,0.923939968637676,0.9259176808104208,0.9300005929925719,0.9279493636003412,0.08280310865620202,0.9690224880530183
12,0.9243135028766858,0.9263622637756793,0.9302509056217441,0.9282931060234885,0.0822919346567511,0.9690039022813979
13,0.9236097276420077,0.9258236918627489,0.9294148907411186,0.9276070077349641,0.08284892956486754,0.9691095948978171
14,0.9244238283224796,0.9271809963664197,0.9295409365445625,0.9283371648213208,0.08126917657906232,0.9689274090558004
15,0.9244016084245391,0.9263327477359089,0.9304596215660933,0.9283876558310157,0.0823383167258619,0.9693363108044357
16,0.9245334958309511,0.9263033808663004,0.9307523506051141,0.9285137620996997,0.08238521678922986,0.9692612145693648
17,0.9244237218914421,0.926789340994007,0.9299586300476312,0.9283651954683014,0.08173373109536793,0.9691269710292945
18,0.9240498296571247,0.9271207556046649,0.9288311593179189,0.9279537639331874,0.08126954349166116,0.9695333382460651
19,0.9250393577138458,0.9273640745560112,0.9305845337072673,0.9289476241482344,0.08113035411814068,0.9692550051461784
20,0.9244896365680015,0.9264637574877745,0.9305013926604959,0.9284674993107022,0.08219925685090572,0.9688270619736864
21,0.9242257504863657,0.9260993987243277,0.9303763584326159,0.9282249076849307,0.08261721346716003,0.9693064331573161
22,0.9237859048732935,0.9265763129283432,0.9289145794200184,0.9277348357864295,0.08191999319700874,0.969111269284561
23,0.9240498296571247,0.9261405731121402,0.9299581417008074,0.9280305295413699,0.082524255081092,0.9691046590535862
24,0.9241597051898965,0.9260187267046358,0.9303347268658773,0.9281589790918913,0.08270967544206494,0.9691946688214947
25,0.9241155653360303,0.9259438949717277,0.9303339594637254,0.9281195911869812,0.08280330290404847,0.9686942934884331
26,0.9241158459269471,0.9255367413801666,0.9307938600851469,0.9281538840698671,0.08331402365852437,0.9684793578780063
27,0.9240277258657705,0.9265644520015929,0.9294151523554885,0.9279799338454625,0.08196641843230765,0.9690601279841559
28,0.9240715415887504,0.9265090750732673,0.9295825681113012,0.9280306393807962,0.08205939840146972,0.9695448703235922
29,0.9240495684173057,0.9260297459356552,0.9300835596297633,0.928048381976256,0.082663681868647,0.9688109829895646
